,comment,currency,amount,text_length,text_wordcount,tokenized_comment,token_lem,token_pstem,cleaned_lem,cleaned_pstem,cluster,x0,x1,cluster1,x0_1,x1_1,dbscan_cluster,x0_2,x1_2
114,God bless you all I will try to help more when I can,SGD,216000,52.0,13.0,"['god', 'bless', 'you', 'all', 'i', 'will', 'try', 'to', 'help', 'more', 'when', 'i', 'can']","['god', 'bless', 'you', 'all', 'i', 'will', 'try', 'to', 'help', 'more', 'when', 'i', 'can']","['god', 'bless', 'you', 'all', 'i', 'will', 'tri', 'to', 'help', 'more', 'when', 'i', 'can']",god bless you all i will try to help more when i can,god bless you all i will tri to help more when i can,0,-0.06708805178006044,0.07012285286478354,2,-0.23943959881921426,0.6379407980828988,0,-0.23943959881921426,0.6379407980828988
115,I will try to help when I can God bless you all,THB,1000000,47.0,12.0,"['i', 'will', 'try', 'to', 'help', 'when', 'i', 'can', 'god', 'bless', 'you', 'all']","['i', 'will', 'try', 'to', 'help', 'when', 'i', 'can', 'god', 'bless', 'you', 'all']","['i', 'will', 'tri', 'to', 'help', 'when', 'i', 'can', 'god', 'bless', 'you', 'all']",i will try to help when i can god bless you all,i will tri to help when i can god bless you all,0,-0.06708805178006044,0.07012285286478354,2,-0.23943959881921426,0.6379407980828988,0,-0.23943959881921426,0.6379407980828988
126,May the Lord bless you. Thank you for your contribution towards making Singaporean lives better.,SGD,50000,96.0,15.0,"['may', 'the', 'lord', 'bless', 'you', 'thank', 'you', 'for', 'your', 'contribution', 'towards', 'making', 'singaporean', 'lives', 'better']","['may', 'the', 'lord', 'bless', 'you', 'thank', 'you', 'for', 'your', 'contribution', 'towards', 'making', 'singaporean', 'life', 'better']","['may', 'the', 'lord', 'bless', 'you', 'thank', 'you', 'for', 'your', 'contribut', 'toward', 'make', 'singaporean', 'live', 'better']",may the lord bless you thank you for your contribution towards making singaporean life better,may the lord bless you thank you for your contribut toward make singaporean live better,0,-0.07647141101156994,-0.03628044810918696,2,-0.2274148570342338,0.14572450129871153,0,-0.2274148570342338,0.14572450129871153
146,I donated because I was reading God's word and was prompted. God is so good all the time.,SGD,20000,89.0,18.0,"['i', 'donated', 'because', 'i', 'was', 'reading', 'god', 's', 'word', 'and', 'was', 'prompted', 'god', 'is', 'so', 'good', 'all', 'the', 'time']","['i', 'donated', 'because', 'i', 'wa', 'reading', 'god', 's', 'word', 'and', 'wa', 'prompted', 'god', 'is', 'so', 'good', 'all', 'the', 'time']","['i', 'donat', 'becaus', 'i', 'wa', 'read', 'god', 's', 'word', 'and', 'wa', 'prompt', 'god', 'is', 'so', 'good', 'all', 'the', 'time']",i donated because i wa reading god s word and wa prompted god is so good all the time,i donat becaus i wa read god s word and wa prompt god is so good all the time,0,-0.06721805807403901,0.017975229872479178,2,-0.24288360062456676,0.4904391946113116,0,-0.24288360062456676,0.4904391946113116
168,"I want this kid to heal completely and enjoy his childhood and shine on in his life.
Prayers to the kid and family. 
God bless you. Wishing you speedy and complete recovery.",SGD,5000,173.0,31.0,"['i', 'want', 'this', 'kid', 'to', 'heal', 'completely', 'and', 'enjoy', 'his', 'childhood', 'and', 'shine', 'on', 'in', 'his', 'life', 'prayers', 'to', 'the', 'kid', 'and', 'family', 'god', 'bless', 'you', 'wishing', 'you', 'speedy', 'and', 'complete', 'recovery']","['i', 'want', 'this', 'kid', 'to', 'heal', 'completely', 'and', 'enjoy', 'his', 'childhood', 'and', 'shine', 'on', 'in', 'his', 'life', 'prayer', 'to', 'the', 'kid', 'and', 'family', 'god', 'bless', 'you', 'wishing', 'you', 'speedy', 'and', 'complete', 'recovery']","['i', 'want', 'thi', 'kid', 'to', 'heal', 'complet', 'and', 'enjoy', 'hi', 'childhood', 'and', 'shine', 'on', 'in', 'hi', 'life', 'prayer', 'to', 'the', 'kid', 'and', 'famili', 'god', 'bless', 'you', 'wish', 'you', 'speedi', 'and', 'complet', 'recoveri']",i want this kid to heal completely and enjoy his childhood and shine on in his life prayer to the kid and family god bless you wishing you speedy and complete recovery,i want thi kid to heal complet and enjoy hi childhood and shine on in hi life prayer to the kid and famili god bless you wish you speedi and complet recoveri,0,-0.12100310261177472,0.24174204735030363,2,-0.5359062062796923,1.8918748075422978,-1,-0.5359062062796923,1.8918748075422978
175,Wishing Mdm Ng a speedy recovery and able to see her family soon! God bless!,SGD,5000,76.0,15.0,"['wishing', 'mdm', 'ng', 'a', 'speedy', 'recovery', 'and', 'able', 'to', 'see', 'her', 'family', 'soon', 'god', 'bless']","['wishing', 'mdm', 'ng', 'a', 'speedy', 'recovery', 'and', 'able', 'to', 'see', 'her', 'family', 'soon', 'god', 'bless']","['wish', 'mdm', 'ng', 'a', 'speedi', 'recoveri', 'and', 'abl', 'to', 'see', 'her', 'famili', 'soon', 'god', 'bless']",wishing mdm ng a speedy recovery and able to see her family soon god bless,wish mdm ng a speedi recoveri and abl to see her famili soon god bless,3,-0.11658745198524008,0.4889184173633167,2,-0.4754216357760381,2.2574867555735683,-1,-0.4754216357760381,2.2574867555735683
176,To share God's blessings and praying for her speedy recovery,SGD,5000,60.0,10.0,"['to', 'share', 'god', 's', 'blessings', 'and', 'praying', 'for', 'her', 'speedy', 'recovery']","['to', 'share', 'god', 's', 'blessing', 'and', 'praying', 'for', 'her', 'speedy', 'recovery']","['to', 'share', 'god', 's', 'bless', 'and', 'pray', 'for', 'her', 'speedi', 'recoveri']",to share god s blessing and praying for her speedy recovery,to share god s bless and pray for her speedi recoveri,3,-0.10816208838232402,0.5070203406434485,2,-0.38540110396059546,1.4546183040753669,0,-0.38540110396059546,1.4546183040753669
210,"she needed help, i helped. God bless",MYR,20000,36.0,7.0,"['she', 'needed', 'help', 'i', 'helped', 'god', 'bless']","['she', 'needed', 'help', 'i', 'helped', 'god', 'bless']","['she', 'need', 'help', 'i', 'help', 'god', 'bless']",she needed help i helped god bless,she need help i help god bless,0,-0.06752701113616477,0.08042212099052488,2,-0.24101022944776163,0.6551908889179547,0,-0.24101022944776163,0.6551908889179547
227,He looks very kind and God bless him to recover soon.,SGD,5000,53.0,11.0,"['he', 'looks', 'very', 'kind', 'and', 'god', 'bless', 'him', 'to', 'recover', 'soon']","['he', 'look', 'very', 'kind', 'and', 'god', 'bless', 'him', 'to', 'recover', 'soon']","['he', 'look', 'veri', 'kind', 'and', 'god', 'bless', 'him', 'to', 'recov', 'soon']",he look very kind and god bless him to recover soon,he look veri kind and god bless him to recov soon,0,-0.07446866735091934,0.12901277670008834,2,-0.23046440134872587,0.7266252964122498,0,-0.23046440134872587,0.7266252964122498
234,"As a mother with daughter, it hurts me to see her suffer. I hope she can get the bone marrow soon. Hope she can recover and go out to play like any other kid. May God bless this little angel.",MYR,20000,191.0,40.0,"['as', 'a', 'mother', 'with', 'daughter', 'it', 'hurts', 'me', 'to', 'see', 'her', 'suffer', 'i', 'hope', 'she', 'can', 'get', 'the', 'bone', 'marrow', 'soon', 'hope', 'she', 'can', 'recover', 'and', 'go', 'out', 'to', 'play', 'like', 'any', 'other', 'kid', 'may', 'god', 'bless', 'this', 'little', 'angel']","['a', 'a', 'mother', 'with', 'daughter', 'it', 'hurt', 'me', 'to', 'see', 'her', 'suffer', 'i', 'hope', 'she', 'can', 'get', 'the', 'bone', 'marrow', 'soon', 'hope', 'she', 'can', 'recover', 'and', 'go', 'out', 'to', 'play', 'like', 'any', 'other', 'kid', 'may', 'god', 'bless', 'this', 'little', 'angel']","['as', 'a', 'mother', 'with', 'daughter', 'it', 'hurt', 'me', 'to', 'see', 'her', 'suffer', 'i', 'hope', 'she', 'can', 'get', 'the', 'bone', 'marrow', 'soon', 'hope', 'she', 'can', 'recov', 'and', 'go', 'out', 'to', 'play', 'like', 'ani', 'other', 'kid', 'may', 'god', 'bless', 'thi', 'littl', 'angel']",a a mother with daughter it hurt me to see her suffer i hope she can get the bone marrow soon hope she can recover and go out to play like any other kid may god bless this little angel,as a mother with daughter it hurt me to see her suffer i hope she can get the bone marrow soon hope she can recov and go out to play like ani other kid may god bless thi littl angel,0,0.040904990790847924,0.07469491835351964,2,0.45152250541660466,1.2362753017320456,-1,0.45152250541660466,1.2362753017320456
279,I may not know you personally but I pray for your continuous healing. Praying also for strength and hope for the entire family. May we continue to strengthen our faith to the Lord during this difficult time. Offer it all to Him!God bless🙏,SGD,5000,238.0,43.0,"['i', 'may', 'not', 'know', 'you', 'personally', 'but', 'i', 'pray', 'for', 'your', 'continuous', 'healing', 'praying', 'also', 'for', 'strength', 'and', 'hope', 'for', 'the', 'entire', 'family', 'may', 'we', 'continue', 'to', 'strengthen', 'our', 'faith', 'to', 'the', 'lord', 'during', 'this', 'difficult', 'time', 'offer', 'it', 'all', 'to', 'him', 'god', 'bless']","['i', 'may', 'not', 'know', 'you', 'personally', 'but', 'i', 'pray', 'for', 'your', 'continuous', 'healing', 'praying', 'also', 'for', 'strength', 'and', 'hope', 'for', 'the', 'entire', 'family', 'may', 'we', 'continue', 'to', 'strengthen', 'our', 'faith', 'to', 'the', 'lord', 'during', 'this', 'difficult', 'time', 'offer', 'it', 'all', 'to', 'him', 'god', 'bless']","['i', 'may', 'not', 'know', 'you', 'person', 'but', 'i', 'pray', 'for', 'your', 'continu', 'heal', 'pray', 'also', 'for', 'strength', 'and', 'hope', 'for', 'the', 'entir', 'famili', 'may', 'we', 'continu', 'to', 'strengthen', 'our', 'faith', 'to', 'the', 'lord', 'dure', 'thi', 'difficult', 'time', 'offer', 'it', 'all', 'to', 'him', 'god', 'bless']",i may not know you personally but i pray for your continuous healing praying also for strength and hope for the entire family may we continue to strengthen our faith to the lord during this difficult time offer it all to him god bless,i may not know you person but i pray for your continu heal pray also for strength and hope for the entir famili may we continu to strengthen our faith to the lord dure thi difficult time offer it all to him god bless,0,-0.07821878327450238,0.05361744942742572,2,-0.3607036005641975,1.4667544626955813,-1,-0.3607036005641975,1.4667544626955813
298,God bless us baby….. pray for your speedy recovery,SGD,5000,50.0,9.0,"['god', 'bless', 'us', 'baby', 'pray', 'for', 'your', 'speedy', 'recovery']","['god', 'bless', 'u', 'baby', 'pray', 'for', 'your', 'speedy', 'recovery']","['god', 'bless', 'us', 'babi', 'pray', 'for', 'your', 'speedi', 'recoveri']",god bless u baby pray for your speedy recovery,god bless us babi pray for your speedi recoveri,3,-0.10375887524486924,0.5849184030855875,2,-0.39936065400964205,2.0687075323019783,0,-0.39936065400964205,2.0687075323019783
350,God bless the family.. 💖,MYR,20000,24.0,5.0,"['god', 'bless', 'the', 'family']","['god', 'bless', 'the', 'family']","['god', 'bless', 'the', 'famili']",god bless the family,god bless the famili,0,-0.08699353979030663,0.0883436968594867,2,-0.3059385963417548,0.8803957996398807,0,-0.3059385963417548,0.8803957996398807
368,"My colleague many years ago , from Myanmar, was always very kind to me and even paid an amount for something I owed , which I didn't have a chance to pay him back for. More importantly, it's our duty as medics . God bless the people!",SGD,50000,233.0,47.0,"['my', 'colleague', 'many', 'years', 'ago', 'from', 'myanmar', 'was', 'always', 'very', 'kind', 'to', 'me', 'and', 'even', 'paid', 'an', 'amount', 'for', 'something', 'i', 'owed', 'which', 'i', 'didn', 't', 'have', 'a', 'chance', 'to', 'pay', 'him', 'back', 'for', 'more', 'importantly', 'it', 's', 'our', 'duty', 'as', 'medics', 'god', 'bless', 'the', 'people']","['my', 'colleague', 'many', 'year', 'ago', 'from', 'myanmar', 'wa', 'always', 'very', 'kind', 'to', 'me', 'and', 'even', 'paid', 'an', 'amount', 'for', 'something', 'i', 'owed', 'which', 'i', 'didn', 't', 'have', 'a', 'chance', 'to', 'pay', 'him', 'back', 'for', 'more', 'importantly', 'it', 's', 'our', 'duty', 'a', 'medic', 'god', 'bless', 'the', 'people']","['my', 'colleagu', 'mani', 'year', 'ago', 'from', 'myanmar', 'wa', 'alway', 'veri', 'kind', 'to', 'me', 'and', 'even', 'paid', 'an', 'amount', 'for', 'someth', 'i', 'owe', 'which', 'i', 'didn', 't', 'have', 'a', 'chanc', 'to', 'pay', 'him', 'back', 'for', 'more', 'importantli', 'it', 's', 'our', 'duti', 'as', 'medic', 'god', 'bless', 'the', 'peopl']",my colleague many year ago from myanmar wa always very kind to me and even paid an amount for something i owed which i didn t have a chance to pay him back for more importantly it s our duty a medic god bless the people,my colleagu mani year ago from myanmar wa alway veri kind to me and even paid an amount for someth i owe which i didn t have a chanc to pay him back for more importantli it s our duti as medic god bless the peopl,0,-0.07719753838530041,-0.01522176426670732,2,-0.29084196761730785,0.6352489373144812,-1,-0.29084196761730785,0.6352489373144812
378,Hope kid will recover faster soon . God bless him.,SGD,20000,50.0,10.0,"['hope', 'kid', 'will', 'recover', 'faster', 'soon', 'god', 'bless', 'him']","['hope', 'kid', 'will', 'recover', 'faster', 'soon', 'god', 'bless', 'him']","['hope', 'kid', 'will', 'recov', 'faster', 'soon', 'god', 'bless', 'him']",hope kid will recover faster soon god bless him,hope kid will recov faster soon god bless him,0,-0.07530486872002758,0.14186286792051003,2,-0.22345389532057763,0.7615831833047305,0,-0.22345389532057763,0.7615831833047305
392,God bless 🙏🏻,SGD,5000,12.0,3.0,"['god', 'bless']","['god', 'bless']","['god', 'bless']",god bless,god bless,0,-0.06620955010488778,0.10126762591013735,2,-0.22926084776140485,0.6449810431245057,0,-0.22926084776140485,0.6449810431245057
395,Manidhar - may god give you strength and will power to overcome this situation.,SGD,5000,79.0,14.0,"['manidhar', 'may', 'god', 'give', 'you', 'strength', 'and', 'will', 'power', 'to', 'overcome', 'this', 'situation']","['manidhar', 'may', 'god', 'give', 'you', 'strength', 'and', 'will', 'power', 'to', 'overcome', 'this', 'situation']","['manidhar', 'may', 'god', 'give', 'you', 'strength', 'and', 'will', 'power', 'to', 'overcom', 'thi', 'situat']",manidhar may god give you strength and will power to overcome this situation,manidhar may god give you strength and will power to overcom thi situat,0,-0.05932289676333585,-0.0007083823561447522,2,-0.18389146709701143,0.4582825687299945,0,-0.18389146709701143,0.4582825687299945
422,May the Lord bless you. May you recover and bless others in future through acts of service or in kind.,SGD,25000,102.0,20.0,"['may', 'the', 'lord', 'bless', 'you', 'may', 'you', 'recover', 'and', 'bless', 'others', 'in', 'future', 'through', 'acts', 'of', 'service', 'or', 'in', 'kind']","['may', 'the', 'lord', 'bless', 'you', 'may', 'you', 'recover', 'and', 'bless', 'others', 'in', 'future', 'through', 'act', 'of', 'service', 'or', 'in', 'kind']","['may', 'the', 'lord', 'bless', 'you', 'may', 'you', 'recov', 'and', 'bless', 'other', 'in', 'futur', 'through', 'act', 'of', 'servic', 'or', 'in', 'kind']",may the lord bless you may you recover and bless others in future through act of service or in kind,may the lord bless you may you recov and bless other in futur through act of servic or in kind,0,-0.084979383331602,0.051922756965235066,2,-0.2916972391693358,0.7086249151295074,-1,-0.2916972391693358,0.7086249151295074
429,I donated because we humans must help each other in times of difficulty. I pray the little boy recovers completely without suffering much. God Bless!,SGD,30000,149.0,25.0,"['i', 'donated', 'because', 'we', 'humans', 'must', 'help', 'each', 'other', 'in', 'times', 'of', 'difficulty', 'i', 'pray', 'the', 'little', 'boy', 'recovers', 'completely', 'without', 'suffering', 'much', 'god', 'bless']","['i', 'donated', 'because', 'we', 'human', 'must', 'help', 'each', 'other', 'in', 'time', 'of', 'difficulty', 'i', 'pray', 'the', 'little', 'boy', 'recovers', 'completely', 'without', 'suffering', 'much', 'god', 'bless']","['i', 'donat', 'becaus', 'we', 'human', 'must', 'help', 'each', 'other', 'in', 'time', 'of', 'difficulti', 'i', 'pray', 'the', 'littl', 'boy', 'recov', 'complet', 'without', 'suffer', 'much', 'god', 'bless']",i donated because we human must help each other in time of difficulty i pray the little boy recovers completely without suffering much god bless,i donat becaus we human must help each other in time of difficulti i pray the littl boy recov complet without suffer much god bless,0,-0.05543476862798612,0.048978566712132056,2,-0.17820284970607717,0.9208817024461768,-1,-0.17820284970607717,0.9208817024461768
444,God has blessed me to bless others,SGD,10000,34.0,7.0,"['god', 'has', 'blessed', 'me', 'to', 'bless', 'others']","['god', 'ha', 'blessed', 'me', 'to', 'bless', 'others']","['god', 'ha', 'bless', 'me', 'to', 'bless', 'other']",god ha blessed me to bless others,god ha bless me to bless other,0,-0.07865129874897625,0.005042588382567614,2,-0.24234324469726007,0.38074822286050664,0,-0.24234324469726007,0.38074822286050664
