,comment,currency,amount,text_length,text_wordcount,tokenized_comment,token_lem,token_pstem,cleaned_lem,cleaned_pstem,cluster,x0,x1,cluster1,x0_1,x1_1
131,Get well soon. God bless.,SGD,50000,25.0,5.0,"['get', 'well', 'soon', 'god', 'bless']","['get', 'well', 'soon', 'god', 'bless']","['get', 'well', 'soon', 'god', 'bless']",get well soon god bless,get well soon god bless,1,0.5806111470984031,0.08394241736460667,1,1.4030153388041577,0.8255047153533087
145,"I know this is just a small amount but i know this can go a long way, my prayers are with you. I am also an ofw here and it is tough to be one, especially with your case, Get better soon! Stay strong!",SGD,3000,200.0,44.0,"['i', 'know', 'this', 'is', 'just', 'a', 'small', 'amount', 'but', 'i', 'know', 'this', 'can', 'go', 'a', 'long', 'way', 'my', 'prayers', 'are', 'with', 'you', 'i', 'am', 'also', 'an', 'ofw', 'here', 'and', 'it', 'is', 'tough', 'to', 'be', 'one', 'especially', 'with', 'your', 'case', 'get', 'better', 'soon', 'stay', 'strong']","['i', 'know', 'this', 'is', 'just', 'a', 'small', 'amount', 'but', 'i', 'know', 'this', 'can', 'go', 'a', 'long', 'way', 'my', 'prayer', 'are', 'with', 'you', 'i', 'am', 'also', 'an', 'ofw', 'here', 'and', 'it', 'is', 'tough', 'to', 'be', 'one', 'especially', 'with', 'your', 'case', 'get', 'better', 'soon', 'stay', 'strong']","['i', 'know', 'thi', 'is', 'just', 'a', 'small', 'amount', 'but', 'i', 'know', 'thi', 'can', 'go', 'a', 'long', 'way', 'my', 'prayer', 'are', 'with', 'you', 'i', 'am', 'also', 'an', 'ofw', 'here', 'and', 'it', 'is', 'tough', 'to', 'be', 'one', 'especi', 'with', 'your', 'case', 'get', 'better', 'soon', 'stay', 'strong']",i know this is just a small amount but i know this can go a long way my prayer are with you i am also an ofw here and it is tough to be one especially with your case get better soon stay strong,i know thi is just a small amount but i know thi can go a long way my prayer are with you i am also an ofw here and it is tough to be one especi with your case get better soon stay strong,0,0.05167762199517653,-0.031615921390844945,1,0.8213555812727275,0.2676456781891828
150,I'm a mother of 3 and also a nurse...it hurts me to see a young life who was a bout to see this beautiful world had to go thru all the sufferings...may he be strong and recovers...my prayers are with u baby boy ..get well soon baby...,SGD,8000,234.0,47.0,"['i', 'm', 'a', 'mother', 'of', 'and', 'also', 'a', 'nurse', 'it', 'hurts', 'me', 'to', 'see', 'a', 'young', 'life', 'who', 'was', 'a', 'bout', 'to', 'see', 'this', 'beautiful', 'world', 'had', 'to', 'go', 'thru', 'all', 'the', 'sufferings', 'may', 'he', 'be', 'strong', 'and', 'recovers', 'my', 'prayers', 'are', 'with', 'u', 'baby', 'boy', 'get', 'well', 'soon', 'baby']","['i', 'm', 'a', 'mother', 'of', 'and', 'also', 'a', 'nurse', 'it', 'hurt', 'me', 'to', 'see', 'a', 'young', 'life', 'who', 'wa', 'a', 'bout', 'to', 'see', 'this', 'beautiful', 'world', 'had', 'to', 'go', 'thru', 'all', 'the', 'suffering', 'may', 'he', 'be', 'strong', 'and', 'recovers', 'my', 'prayer', 'are', 'with', 'u', 'baby', 'boy', 'get', 'well', 'soon', 'baby']","['i', 'm', 'a', 'mother', 'of', 'and', 'also', 'a', 'nurs', 'it', 'hurt', 'me', 'to', 'see', 'a', 'young', 'life', 'who', 'wa', 'a', 'bout', 'to', 'see', 'thi', 'beauti', 'world', 'had', 'to', 'go', 'thru', 'all', 'the', 'suffer', 'may', 'he', 'be', 'strong', 'and', 'recov', 'my', 'prayer', 'are', 'with', 'u', 'babi', 'boy', 'get', 'well', 'soon', 'babi']",i m a mother of and also a nurse it hurt me to see a young life who wa a bout to see this beautiful world had to go thru all the suffering may he be strong and recovers my prayer are with u baby boy get well soon baby,i m a mother of and also a nurs it hurt me to see a young life who wa a bout to see thi beauti world had to go thru all the suffer may he be strong and recov my prayer are with u babi boy get well soon babi,0,0.24008912712574929,-0.03324983323217436,1,1.8422497019331576,0.47895762890972765
162,Be a small part in making sure Manidhar recovers and gets well soon. Pray for his speedy recovery 🙏🙏🙏,SGD,10800,101.0,19.0,"['be', 'a', 'small', 'part', 'in', 'making', 'sure', 'manidhar', 'recovers', 'and', 'gets', 'well', 'soon', 'pray', 'for', 'his', 'speedy', 'recovery']","['be', 'a', 'small', 'part', 'in', 'making', 'sure', 'manidhar', 'recovers', 'and', 'get', 'well', 'soon', 'pray', 'for', 'his', 'speedy', 'recovery']","['be', 'a', 'small', 'part', 'in', 'make', 'sure', 'manidhar', 'recov', 'and', 'get', 'well', 'soon', 'pray', 'for', 'hi', 'speedi', 'recoveri']",be a small part in making sure manidhar recovers and get well soon pray for his speedy recovery,be a small part in make sure manidhar recov and get well soon pray for hi speedi recoveri,3,0.3761208454618986,0.46150726861474706,1,1.3507477391032154,1.4088785394710122
191,Get well soon Manidhar! You are a very strong boy and will win over this battle. Our best wishes with you and your family,SGD,15000,121.0,24.0,"['get', 'well', 'soon', 'manidhar', 'you', 'are', 'a', 'very', 'strong', 'boy', 'and', 'will', 'win', 'over', 'this', 'battle', 'our', 'best', 'wishes', 'with', 'you', 'and', 'your', 'family']","['get', 'well', 'soon', 'manidhar', 'you', 'are', 'a', 'very', 'strong', 'boy', 'and', 'will', 'win', 'over', 'this', 'battle', 'our', 'best', 'wish', 'with', 'you', 'and', 'your', 'family']","['get', 'well', 'soon', 'manidhar', 'you', 'are', 'a', 'veri', 'strong', 'boy', 'and', 'will', 'win', 'over', 'thi', 'battl', 'our', 'best', 'wish', 'with', 'you', 'and', 'your', 'famili']",get well soon manidhar you are a very strong boy and will win over this battle our best wish with you and your family,get well soon manidhar you are a veri strong boy and will win over thi battl our best wish with you and your famili,1,0.4487713291352488,0.06618388837764312,1,1.669731336552462,0.5152137232200529
198,"I donated because every child deserves a wonderful childhood. Get well soon, Manidhar, this too shall pass.",SGD,5000,107.0,17.0,"['i', 'donated', 'because', 'every', 'child', 'deserves', 'a', 'wonderful', 'childhood', 'get', 'well', 'soon', 'manidhar', 'this', 'too', 'shall', 'pass']","['i', 'donated', 'because', 'every', 'child', 'deserves', 'a', 'wonderful', 'childhood', 'get', 'well', 'soon', 'manidhar', 'this', 'too', 'shall', 'pas']","['i', 'donat', 'becaus', 'everi', 'child', 'deserv', 'a', 'wonder', 'childhood', 'get', 'well', 'soon', 'manidhar', 'thi', 'too', 'shall', 'pass']",i donated because every child deserves a wonderful childhood get well soon manidhar this too shall pas,i donat becaus everi child deserv a wonder childhood get well soon manidhar thi too shall pass,1,0.4490986257663563,-0.012046699662727155,1,1.597615253803402,0.10579621530694844
225,God bless you baby ❤️ get well soon 💞,SGD,1000,37.0,9.0,"['god', 'bless', 'you', 'baby', 'get', 'well', 'soon']","['god', 'bless', 'you', 'baby', 'get', 'well', 'soon']","['god', 'bless', 'you', 'babi', 'get', 'well', 'soon']",god bless you baby get well soon,god bless you babi get well soon,1,0.524837904757964,0.07251257531740767,1,1.4158719637464876,0.8703949252360136
231,Every child deserves not to worry about financial cost. May you get well soon and get to enjoy your childhood..,SGD,25000,111.0,20.0,"['every', 'child', 'deserves', 'not', 'to', 'worry', 'about', 'financial', 'cost', 'may', 'you', 'get', 'well', 'soon', 'and', 'get', 'to', 'enjoy', 'your', 'childhood']","['every', 'child', 'deserves', 'not', 'to', 'worry', 'about', 'financial', 'cost', 'may', 'you', 'get', 'well', 'soon', 'and', 'get', 'to', 'enjoy', 'your', 'childhood']","['everi', 'child', 'deserv', 'not', 'to', 'worri', 'about', 'financi', 'cost', 'may', 'you', 'get', 'well', 'soon', 'and', 'get', 'to', 'enjoy', 'your', 'childhood']",every child deserves not to worry about financial cost may you get well soon and get to enjoy your childhood,everi child deserv not to worri about financi cost may you get well soon and get to enjoy your childhood,1,0.5398064939762391,-0.014216740732872766,1,2.1422047239431916,0.28146672207345624
301,I hope she gets well soon without worrying about her medical expense.,SGD,5000,69.0,12.0,"['i', 'hope', 'she', 'gets', 'well', 'soon', 'without', 'worrying', 'about', 'her', 'medical', 'expense']","['i', 'hope', 'she', 'get', 'well', 'soon', 'without', 'worrying', 'about', 'her', 'medical', 'expense']","['i', 'hope', 'she', 'get', 'well', 'soon', 'without', 'worri', 'about', 'her', 'medic', 'expens']",i hope she get well soon without worrying about her medical expense,i hope she get well soon without worri about her medic expens,1,0.7128784795588806,0.002651836354467675,1,1.5226582126760346,-0.01860280056585051
325,"Get well soon, 
Myanmar.",SGD,1000,24.0,4.0,"['get', 'well', 'soon', 'myanmar']","['get', 'well', 'soon', 'myanmar']","['get', 'well', 'soon', 'myanmar']",get well soon myanmar,get well soon myanmar,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
341,Get well soon to him,SGD,500,20.0,5.0,"['get', 'well', 'soon', 'to', 'him']","['get', 'well', 'soon', 'to', 'him']","['get', 'well', 'soon', 'to', 'him']",get well soon to him,get well soon to him,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
357,Donated because kid n he needs to get well soon,SGD,3000,47.0,10.0,"['donated', 'because', 'kid', 'n', 'he', 'needs', 'to', 'get', 'well', 'soon']","['donated', 'because', 'kid', 'n', 'he', 'need', 'to', 'get', 'well', 'soon']","['donat', 'becaus', 'kid', 'n', 'he', 'need', 'to', 'get', 'well', 'soon']",donated because kid n he need to get well soon,donat becaus kid n he need to get well soon,1,0.6419521603204372,-0.11485925953449348,1,1.4765929793905719,-0.037215350096180475
360,So much left to see Manidhar. Be strong and I'm sure you'll get thru this.  I pray God to give you all the strength. Get well soon.,SGD,50000,131.0,28.0,"['so', 'much', 'left', 'to', 'see', 'manidhar', 'be', 'strong', 'and', 'i', 'm', 'sure', 'you', 'll', 'get', 'thru', 'this', 'i', 'pray', 'god', 'to', 'give', 'you', 'all', 'the', 'strength', 'get', 'well', 'soon']","['so', 'much', 'left', 'to', 'see', 'manidhar', 'be', 'strong', 'and', 'i', 'm', 'sure', 'you', 'll', 'get', 'thru', 'this', 'i', 'pray', 'god', 'to', 'give', 'you', 'all', 'the', 'strength', 'get', 'well', 'soon']","['so', 'much', 'left', 'to', 'see', 'manidhar', 'be', 'strong', 'and', 'i', 'm', 'sure', 'you', 'll', 'get', 'thru', 'thi', 'i', 'pray', 'god', 'to', 'give', 'you', 'all', 'the', 'strength', 'get', 'well', 'soon']",so much left to see manidhar be strong and i m sure you ll get thru this i pray god to give you all the strength get well soon,so much left to see manidhar be strong and i m sure you ll get thru thi i pray god to give you all the strength get well soon,1,0.47570394049378956,0.007729054067723599,1,2.3427773418901774,0.7376823160433317
367,Please get well soon!,MYR,10000,21.0,4.0,"['please', 'get', 'well', 'soon']","['please', 'get', 'well', 'soon']","['pleas', 'get', 'well', 'soon']",please get well soon,pleas get well soon,1,0.7389950989677478,-0.015002933307737264,1,1.5387946608333307,-0.03559611493419706
432,Hope get well soon be strong,SGD,2000,28.0,6.0,"['hope', 'get', 'well', 'soon', 'be', 'strong']","['hope', 'get', 'well', 'soon', 'be', 'strong']","['hope', 'get', 'well', 'soon', 'be', 'strong']",hope get well soon be strong,hope get well soon be strong,1,0.7966806182486024,0.006348671168659448,1,1.6607034140775219,0.05042217924173947
439,Get well soon,SGD,1200,13.0,3.0,"['get', 'well', 'soon']","['get', 'well', 'soon']","['get', 'well', 'soon']",get well soon,get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
492,Get well soon dear .,SGD,10000,20.0,5.0,"['get', 'well', 'soon', 'dear']","['get', 'well', 'soon', 'dear']","['get', 'well', 'soon', 'dear']",get well soon dear,get well soon dear,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
495,"Be brave, boy. Get well soon!",SGD,5000,29.0,6.0,"['be', 'brave', 'boy', 'get', 'well', 'soon']","['be', 'brave', 'boy', 'get', 'well', 'soon']","['be', 'brave', 'boy', 'get', 'well', 'soon']",be brave boy get well soon,be brave boy get well soon,1,0.6952560392287953,-0.0007217639582730937,1,1.5517678656630134,0.0036874315903045055
512,Hopefully get well soon 🙏🏻,SGD,2000,26.0,5.0,"['hopefully', 'get', 'well', 'soon']","['hopefully', 'get', 'well', 'soon']","['hope', 'get', 'well', 'soon']",hopefully get well soon,hope get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
531,i donated because I wish him to get well soon after surgery .,SGD,2000,61.0,13.0,"['i', 'donated', 'because', 'i', 'wish', 'him', 'to', 'get', 'well', 'soon', 'after', 'surgery']","['i', 'donated', 'because', 'i', 'wish', 'him', 'to', 'get', 'well', 'soon', 'after', 'surgery']","['i', 'donat', 'becaus', 'i', 'wish', 'him', 'to', 'get', 'well', 'soon', 'after', 'surgeri']",i donated because i wish him to get well soon after surgery,i donat becaus i wish him to get well soon after surgeri,1,0.7785832103836938,0.09969948988323951,1,1.528389124918041,0.10597278065473965
537,Get well soon,SGD,1000,13.0,3.0,"['get', 'well', 'soon']","['get', 'well', 'soon']","['get', 'well', 'soon']",get well soon,get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
548,Jiayou ! Fighting! And get well soon!,SGD,5000,37.0,7.0,"['jiayou', 'fighting', 'and', 'get', 'well', 'soon']","['jiayou', 'fighting', 'and', 'get', 'well', 'soon']","['jiayou', 'fight', 'and', 'get', 'well', 'soon']",jiayou fighting and get well soon,jiayou fight and get well soon,1,0.7051534608540098,-0.01175256974542195,1,1.5223441955126729,-0.04135332372734186
555,"Hope u
Get well soon... ❤️",SGD,1000,26.0,5.0,"['hope', 'u', 'get', 'well', 'soon']","['hope', 'u', 'get', 'well', 'soon']","['hope', 'u', 'get', 'well', 'soon']",hope u get well soon,hope u get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
560,Get well soon.,SGD,2000,14.0,3.0,"['get', 'well', 'soon']","['get', 'well', 'soon']","['get', 'well', 'soon']",get well soon,get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
562,I hope everyone get a chance to get help and help people. Stay kind and generous.,SGD,2000,81.0,16.0,"['i', 'hope', 'everyone', 'get', 'a', 'chance', 'to', 'get', 'help', 'and', 'help', 'people', 'stay', 'kind', 'and', 'generous']","['i', 'hope', 'everyone', 'get', 'a', 'chance', 'to', 'get', 'help', 'and', 'help', 'people', 'stay', 'kind', 'and', 'generous']","['i', 'hope', 'everyon', 'get', 'a', 'chanc', 'to', 'get', 'help', 'and', 'help', 'peopl', 'stay', 'kind', 'and', 'gener']",i hope everyone get a chance to get help and help people stay kind and generous,i hope everyon get a chanc to get help and help peopl stay kind and gener,0,0.25340421530212826,-0.06851238250669366,1,1.17849366409869,-0.04061860246204782
568,Get well soon,SGD,1000,13.0,3.0,"['get', 'well', 'soon']","['get', 'well', 'soon']","['get', 'well', 'soon']",get well soon,get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
573,阿弥陀佛. It is heartbreaking to see him going thru all the treatment at such a young age. Get well soon.,SGD,3000,101.0,20.0,"['it', 'is', 'heartbreaking', 'to', 'see', 'him', 'going', 'thru', 'all', 'the', 'treatment', 'at', 'such', 'a', 'young', 'age', 'get', 'well', 'soon']","['it', 'is', 'heartbreaking', 'to', 'see', 'him', 'going', 'thru', 'all', 'the', 'treatment', 'at', 'such', 'a', 'young', 'age', 'get', 'well', 'soon']","['it', 'is', 'heartbreak', 'to', 'see', 'him', 'go', 'thru', 'all', 'the', 'treatment', 'at', 'such', 'a', 'young', 'age', 'get', 'well', 'soon']",it is heartbreaking to see him going thru all the treatment at such a young age get well soon,it is heartbreak to see him go thru all the treatment at such a young age get well soon,1,0.5302936956282182,-0.014619706239845527,1,1.6374705310764603,0.018698282549227407
574,I hope and pray that this kids gets through this tough time and gets back on his feet and be happy soon.,SGD,20100,104.0,22.0,"['i', 'hope', 'and', 'pray', 'that', 'this', 'kids', 'gets', 'through', 'this', 'tough', 'time', 'and', 'gets', 'back', 'on', 'his', 'feet', 'and', 'be', 'happy', 'soon']","['i', 'hope', 'and', 'pray', 'that', 'this', 'kid', 'get', 'through', 'this', 'tough', 'time', 'and', 'get', 'back', 'on', 'his', 'foot', 'and', 'be', 'happy', 'soon']","['i', 'hope', 'and', 'pray', 'that', 'thi', 'kid', 'get', 'through', 'thi', 'tough', 'time', 'and', 'get', 'back', 'on', 'hi', 'feet', 'and', 'be', 'happi', 'soon']",i hope and pray that this kid get through this tough time and get back on his foot and be happy soon,i hope and pray that thi kid get through thi tough time and get back on hi feet and be happi soon,0,0.2646769299998662,-0.01139909918876499,1,1.146119547761469,0.16566877258796578
580,Speedy recovery to you! Hope that you get well soon and go back to your family ASAP!,SGD,10000,84.0,17.0,"['speedy', 'recovery', 'to', 'you', 'hope', 'that', 'you', 'get', 'well', 'soon', 'and', 'go', 'back', 'to', 'your', 'family', 'asap']","['speedy', 'recovery', 'to', 'you', 'hope', 'that', 'you', 'get', 'well', 'soon', 'and', 'go', 'back', 'to', 'your', 'family', 'asap']","['speedi', 'recoveri', 'to', 'you', 'hope', 'that', 'you', 'get', 'well', 'soon', 'and', 'go', 'back', 'to', 'your', 'famili', 'asap']",speedy recovery to you hope that you get well soon and go back to your family asap,speedi recoveri to you hope that you get well soon and go back to your famili asap,3,0.39892346002164053,0.49343140043800326,1,1.2714480977630662,1.5306728707475714
594,Get well soon Chloe :),SGD,10000,22.0,5.0,"['get', 'well', 'soon', 'chloe']","['get', 'well', 'soon', 'chloe']","['get', 'well', 'soon', 'chloe']",get well soon chloe,get well soon chloe,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
606,Get well soon Sweetheart.,MYR,6000,25.0,4.0,"['get', 'well', 'soon', 'sweetheart']","['get', 'well', 'soon', 'sweetheart']","['get', 'well', 'soon', 'sweetheart']",get well soon sweetheart,get well soon sweetheart,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
614,Hope he gets well soon.,SGD,10000,23.0,5.0,"['hope', 'he', 'gets', 'well', 'soon']","['hope', 'he', 'get', 'well', 'soon']","['hope', 'he', 'get', 'well', 'soon']",hope he get well soon,hope he get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
615,Hopefully he get well soon.,SGD,3000,27.0,5.0,"['hopefully', 'he', 'get', 'well', 'soon']","['hopefully', 'he', 'get', 'well', 'soon']","['hope', 'he', 'get', 'well', 'soon']",hopefully he get well soon,hope he get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
627,Get well soon..,SGD,10000,15.0,3.0,"['get', 'well', 'soon']","['get', 'well', 'soon']","['get', 'well', 'soon']",get well soon,get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
632,"Just doing my bit to help, get well soon, om mani padme hum😊🕉️",MYR,3000,62.0,13.0,"['just', 'doing', 'my', 'bit', 'to', 'help', 'get', 'well', 'soon', 'om', 'mani', 'padme', 'hum']","['just', 'doing', 'my', 'bit', 'to', 'help', 'get', 'well', 'soon', 'om', 'mani', 'padme', 'hum']","['just', 'do', 'my', 'bit', 'to', 'help', 'get', 'well', 'soon', 'om', 'mani', 'padm', 'hum']",just doing my bit to help get well soon om mani padme hum,just do my bit to help get well soon om mani padm hum,1,0.7136235748868246,-0.014577859558139936,1,1.5245225949497703,-0.042925806850877206
664,I feel so sad to hear that.Jia you be strong 💪 Get well soon.,SGD,3000,61.0,14.0,"['i', 'feel', 'so', 'sad', 'to', 'hear', 'that', 'jia', 'you', 'be', 'strong', 'get', 'well', 'soon']","['i', 'feel', 'so', 'sad', 'to', 'hear', 'that', 'jia', 'you', 'be', 'strong', 'get', 'well', 'soon']","['i', 'feel', 'so', 'sad', 'to', 'hear', 'that', 'jia', 'you', 'be', 'strong', 'get', 'well', 'soon']",i feel so sad to hear that jia you be strong get well soon,i feel so sad to hear that jia you be strong get well soon,1,0.5517438242470091,0.011780423534452347,1,1.670972897370009,0.050155638113975026
665,Get well soon,SGD,500,13.0,3.0,"['get', 'well', 'soon']","['get', 'well', 'soon']","['get', 'well', 'soon']",get well soon,get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
666,Get well soon!,MYR,20000,14.0,3.0,"['get', 'well', 'soon']","['get', 'well', 'soon']","['get', 'well', 'soon']",get well soon,get well soon,1,0.9325623359522863,-0.0002215678517767491,1,1.521388189693452,-0.03469969253029138
